role,index,rgb_rel,panel_path,valid_fraction,original_median_scaled_abs_rel,original_median_scaled_a1,adapted_median_scaled_abs_rel,adapted_median_scaled_a1,adapted_selection_metric_value
adapted_good,35,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715987040650648.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\soft_confidence_multiplier_b12_250steps_seed0\visual_compare_control_vs_soft_confidence_val100_step_250\adapted_good_index_0035_comparison.png,0.35632703993055553,0.5781864658578114,0.5017220325770194,0.5913405515725114,0.45349293981869176,0.45349293981869176
adapted_typical,90,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715992537552184.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\soft_confidence_multiplier_b12_250steps_seed0\visual_compare_control_vs_soft_confidence_val100_step_250\adapted_typical_index_0090_comparison.png,0.346787109375,0.6201022216239915,0.40934108054155366,0.6329213152202402,0.32250100907699963,0.32250100907699963
adapted_bad,24,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715985942361240.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\soft_confidence_multiplier_b12_250steps_seed0\visual_compare_control_vs_soft_confidence_val100_step_250\adapted_bad_index_0024_comparison.png,0.34528211805555553,0.9138757432373433,0.05306839465513557,0.8849687603439039,0.04651930159767702,0.04651930159767702
largest_drop_vs_original,48,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715988342456536.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\soft_confidence_multiplier_b12_250steps_seed0\visual_compare_control_vs_soft_confidence_val100_step_250\largest_drop_vs_original_index_0048_comparison.png,0.3820616319444444,0.37815777187441535,0.4132737682756427,0.4217407044613433,0.28302395855816964,0.13024980971747308
