role,index,rgb_rel,panel_path,valid_fraction,control_median_scaled_abs_rel,control_median_scaled_a1,confidence_median_scaled_abs_rel,confidence_median_scaled_a1,effective_weight_mean_all,effective_weight_mean_eval_valid,effective_weight_zero_fraction_all,warped_winner_fraction_all,margin_mean_all,margin_mean_eval_valid,control_error_mean_valid,confidence_error_mean_valid,error_delta_mean_valid
adapted_good,35,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715987040650648.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_confidence_diagnostics_val100_step_250\adapted_good_index_0035_confidence_diagnostics.png,0.35632703993055553,0.5781864658578114,0.5017220325770194,0.5872070355666837,0.44757316735233305,0.45199570059776306,0.5244160890579224,0.1617523871527778,0.60099609375,0.03546448424458504,0.04247644171118736,1.6311250925064087,1.672636866569519,0.04151197895407677
adapted_typical,45,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715988041790936.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_confidence_diagnostics_val100_step_250\adapted_typical_index_0045_confidence_diagnostics.png,0.36829318576388886,0.4509745612268603,0.44217913552276095,0.4734162330588336,0.31047761026931314,0.3283025026321411,0.33059513568878174,0.29444227430555553,0.45076822916666665,-0.013673951849341393,-0.020412802696228027,1.5003528594970703,1.5481189489364624,0.04776613786816597
adapted_bad,23,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715985839007864.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_confidence_diagnostics_val100_step_250\adapted_bad_index_0023_confidence_diagnostics.png,0.3294357638888889,0.8960624465643026,0.058868672762246055,0.824190759562121,0.047946694421754366,0.4019700884819031,0.4899100065231323,0.15941297743055555,0.6006163194444445,0.02330094203352928,0.040721774101257324,2.668247699737549,2.620297908782959,-0.04794999584555626
largest_drop_vs_original,96,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715993137863672.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_confidence_diagnostics_val100_step_250\largest_drop_vs_original_index_0096_confidence_diagnostics.png,0.37420247395833334,0.504097124160591,0.3974830730865701,0.5388313282158277,0.2408942629724675,0.42766207456588745,0.4474885165691376,0.17655924479166665,0.5656901041666667,0.020492590963840485,0.02343115769326687,1.6345528364181519,1.7359825372695923,0.10142965614795685
