role,index,rgb_rel,panel_path,valid_fraction,original_median_scaled_abs_rel,original_median_scaled_a1,adapted_median_scaled_abs_rel,adapted_median_scaled_a1,adapted_selection_metric_value
adapted_good,35,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715987040650648.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_compare_control_vs_confidence_val100_step_250\adapted_good_index_0035_comparison.png,0.35632703993055553,0.5781864658578114,0.5017220325770194,0.5872070355666837,0.44757316735233305,0.44757316735233305
adapted_typical,45,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715988041790936.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_compare_control_vs_confidence_val100_step_250\adapted_typical_index_0045_comparison.png,0.36829318576388886,0.4509745612268603,0.44217913552276095,0.4734162330588336,0.31047761026931314,0.31047761026931314
adapted_bad,23,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715985839007864.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_compare_control_vs_confidence_val100_step_250\adapted_bad_index_0023_comparison.png,0.3294357638888889,0.8960624465643026,0.058868672762246055,0.824190759562121,0.047946694421754366,0.047946694421754366
largest_drop_vs_original,96,extracted_rgbd/zed2i_zed_node_left_image_rect_color/zed_2023-07-18-14-33-03_13_bag_1689715993137863672.png,D:\IBPI\Image Proc-AI Assisted-SP1\Lite-Mono\citrus_project\milestones\04_lightweight_vegetation_improvement\levinson\runs\photometric_confidence_masking_b12_250steps_seed0\visual_compare_control_vs_confidence_val100_step_250\largest_drop_vs_original_index_0096_comparison.png,0.37420247395833334,0.504097124160591,0.3974830730865701,0.5388313282158277,0.2408942629724675,0.1565888101141026
