index,si_inconsistency,median_scaled_abs_rel
1,0.11003444343805313,0.6226681219697539
2,0.15722250938415527,0.5414555338389508
3,0.16200019419193268,0.33106670537707483
4,0.1793132722377777,0.21019227703602142
5,0.06867407262325287,0.17242991036243746
6,0.07399174571037292,0.15733331970273626
7,0.10760967433452606,0.16782638320406135
8,0.08119268715381622,0.15229003112894077
9,0.1122058555483818,0.13408334183012205
10,0.07128120958805084,0.15851782840886572
11,0.06738544255495071,0.1445684124682948
12,0.14121194183826447,0.14800820156003736
13,0.07463245093822479,0.12944490907357595
14,0.1504332423210144,0.1354368100839784
15,0.08516956120729446,0.12896010692317064
16,0.12814219295978546,0.12630689207824608
17,0.07149156928062439,0.14559703754867476
18,0.12654194235801697,0.20293163655900137
19,0.17938676476478577,0.14788074889440037
20,0.1409778743982315,0.16349908295083052
21,0.1617266982793808,0.14363765518628316
22,0.1594320684671402,0.1833323477506467
23,0.09585627913475037,0.18691025762184524
24,0.11542153358459473,0.18227823369723808
25,0.10905511677265167,0.1948853292157868
26,0.13808561861515045,0.18530992689479722
27,0.11013396829366684,0.19719349955596288
28,0.11641751974821091,0.22052514503718648
29,0.09813065081834793,0.2131273666896
30,0.10792513936758041,0.2011602465355519
31,0.11132179945707321,0.21519481973139198
32,0.16333253681659698,0.259558643977062
33,0.1779433637857437,0.24608010842132994
34,0.11215341836214066,0.24925754448677803
35,0.13801632821559906,0.2746785184316332
36,0.1658710390329361,0.3085064689369475
37,0.14648495614528656,0.3615021284858408
38,0.11058758199214935,0.3747970523090606
39,0.09663881361484528,0.400062738960017
40,0.1708114892244339,0.48188199993693503
41,0.12362949550151825,0.6562194612319391
42,0.1846577376127243,0.7020313807987474
43,0.11383040994405746,0.7571233552057274
44,0.16564041376113892,0.7755760139923712
45,0.15034466981887817,0.8033213968387989
46,0.0900903269648552,0.7904792684296523
47,0.18118725717067719,0.8494683915034638
48,0.10726406425237656,0.7798450780799798
49,0.2059767097234726,0.7140140193674398
50,0.08307743817567825,0.7732893975617022
51,0.09016095101833344,0.8157656464693006
52,0.18458084762096405,0.29800839686626096
53,0.07348382472991943,0.20354005119618027
54,0.19160957634449005,0.20346487321240128
55,0.1451832503080368,0.1849098818931637
56,0.15398149192333221,0.19952713713935663
57,0.10196951031684875,0.16239268391901016
58,0.07448194921016693,0.13582627941216663
59,0.15101934969425201,0.20867743148978796
60,0.16065093874931335,0.19718726666344344
61,0.12238481640815735,0.17182262312863741
62,0.12610089778900146,0.1386664396674231
63,0.12813299894332886,0.13821026088862257
64,0.10526782274246216,0.14064106162985596
65,0.12110421806573868,0.14732306698174563
66,0.07691439241170883,0.14250237093057805
67,0.12909862399101257,0.18067184647613932
68,0.08109603822231293,0.22781447465452417
69,0.12548059225082397,0.2574582744695539
70,0.1264922320842743,0.19092032374720705
71,0.10531104356050491,0.2654359856956888
72,0.08024262636899948,0.29798943882427065
73,0.12148389965295792,0.2701445641723357
74,0.08291161805391312,0.2671920160491567
75,0.11528707295656204,0.2519174385593983
76,0.11190555989742279,0.23978260582430513
77,0.11029485613107681,0.2497461044225756
78,0.08951536566019058,0.20073976911196445
79,0.0873611643910408,0.18955788990468986
80,0.10790743678808212,0.22008663798596304
81,0.08055022358894348,0.23343589367388853
82,0.12471039593219757,0.25855978015285697
83,0.1280040144920349,0.33505912780235747
84,0.11870881170034409,0.4441543386103298
85,0.1394510269165039,0.38018168555330434
86,0.11727041006088257,0.32265272312047255
87,0.08876203745603561,0.34086306079797385
88,0.08821479976177216,0.3646084391419059
89,0.18856504559516907,0.35364405244339386
90,0.11048811674118042,0.3879733767566023
91,0.10042668879032135,0.43734942141153493
92,0.10085631161928177,0.4393984760376365
93,0.17395634949207306,0.46457309088599696
94,0.12378775328397751,0.5545892028915284
95,0.13940413296222687,0.5042369011057605
96,0.0919390395283699,0.5249808824454641
97,0.19138583540916443,0.518628441052737
98,0.09096303582191467,0.5596702468579063
99,0.09430332481861115,0.5234601137475365
100,0.091851606965065,0.6659769367926509
101,0.16864289343357086,0.6965187454050417
102,0.19929856061935425,0.6341522491941048
103,0.08370740711688995,0.5474660101581467
104,0.09174767881631851,0.7887652346470496
105,0.181255504488945,0.8187158861916789
106,0.1152312159538269,0.6528627606851559
107,0.14193561673164368,0.4701971475523949
108,0.07762100547552109,0.266638013367706
109,0.12210100144147873,0.15378339911605407
110,0.09068392962217331,0.15401183621147768
111,0.09360524266958237,0.15376729669561992
112,0.1362188458442688,0.15424435443220685
113,0.09410499036312103,0.15414362736662687
114,0.1384093314409256,0.15492342487181607
115,0.07703183591365814,0.15578246869976858
116,0.10951337963342667,0.15521533196724172
117,0.11042280495166779,0.15400468222709665
118,0.12570425868034363,0.15409836447015413
119,0.09577589482069016,0.15447729371056027
120,0.12279455363750458,0.15413603737617107
121,0.12252353876829147,0.15496190425107367
122,0.11826343089342117,0.1531963421695937
123,0.1057034581899643,0.15629064281724514
124,0.10160141438245773,0.15418470341712817
125,0.12320024520158768,0.1533577746740533
126,0.12159664928913116,0.15356234159784293
127,0.07706686854362488,0.15389330504505008
128,0.11888597160577774,0.1548436468062658
129,0.11847569048404694,0.15373914017457482
130,0.12151410430669785,0.1537009943422355
131,0.1054593175649643,0.15546850457667197
132,0.10528124123811722,0.1567163195529721
133,0.09349992126226425,0.15329564684870808
134,0.10683821886777878,0.15536486088571644
135,0.12260717898607254,0.1556071575004001
136,0.12032216787338257,0.15513234890409996
137,0.08851314336061478,0.1542884020186571
138,0.1029595136642456,0.1553426553616395
139,0.10559830814599991,0.15464317459830265
140,0.12199253588914871,0.15487652660078208
141,0.10139471292495728,0.1554894656625513
142,0.09623154252767563,0.15591420524857044
143,0.06993291527032852,0.15498103889478637
144,0.13065719604492188,0.1569860616201391
145,0.1259436309337616,0.15454245494626218
146,0.0775890052318573,0.1556289672549677
147,0.12966713309288025,0.15666518887913536
148,0.09930986911058426,0.1570892859393976
149,0.12181175500154495,0.15626744427144654
150,0.1034197062253952,0.15662836130377014
151,0.13576211035251617,0.15650286310481282
152,0.1155729815363884,0.15702878276771065
153,0.12431500107049942,0.15823881082219501
154,0.08919420093297958,0.16056439596396688
155,0.12759846448898315,0.15868005384059486
156,0.10667673498392105,0.15639543281266394
157,0.10436061024665833,0.156231540800985
158,0.11802946031093597,0.15563224086337404
159,0.0701407864689827,0.15577194318173093
160,0.12891535460948944,0.15699209000781422
161,0.12002325803041458,0.154503795659142
162,0.12491436302661896,0.15783644748883516
163,0.1081899031996727,0.1574709724741637
164,0.0996323674917221,0.15889030120712935
165,0.08642895519733429,0.15832136693841747
166,0.11719050258398056,0.15597851712656094
167,0.13549742102622986,0.1596728859280874
168,0.08458589017391205,0.15763911549485815
169,0.09129001200199127,0.15703669396679018
170,0.10722320526838303,0.15807653624231235
171,0.12061116844415665,0.15660711895944512
172,0.10694794356822968,0.15644995444787513
173,0.12179297208786011,0.15898195986830554
174,0.12156134843826294,0.15745177442963426
175,0.07772885262966156,0.15778223047767762
176,0.07893053442239761,0.16822898804943093
177,0.09889164566993713,0.16460332061187655
178,0.10326571017503738,0.15430177040407292
179,0.10128453373908997,0.1560617653474009
180,0.10441933572292328,0.16782418486401288
181,0.10231941193342209,0.16603934429709613
182,0.13563205301761627,0.17156134630077885
183,0.12381681799888611,0.16935555508720182
184,0.09782667458057404,0.1626897116416867
185,0.08605977147817612,0.17243903306604444
186,0.13366837799549103,0.1629970026194889
187,0.13514873385429382,0.162216493968758
188,0.1244356706738472,0.15252011761242176
189,0.12527871131896973,0.15942083012263578
190,0.12341992557048798,0.1596518923157453
191,0.12328656017780304,0.1611314921262147
192,0.12878142297267914,0.16519501663761943
193,0.1297006905078888,0.16696592756252496
194,0.13728146255016327,0.16768901253210508
195,0.12410550564527512,0.17213262410849559
196,0.10290215909481049,0.19110444837721605
197,0.12677878141403198,0.2080113394711312
198,0.13130824267864227,0.2218435341263909
199,0.15041720867156982,0.20227215577106664
200,0.13830435276031494,0.20789008121794475
201,0.15164399147033691,0.22912009859375781
202,0.14423112571239471,0.25781553563934523
203,0.13355454802513123,0.2650611623740092
204,0.14179617166519165,0.23918150418088044
205,0.14814168214797974,0.26193300201603154
206,0.15417152643203735,0.27782138386331856
207,0.14025990664958954,0.3380156840041002
208,0.11823159456253052,0.37104803515981744
209,0.14667247235774994,0.40257967689388263
210,0.1427024006843567,0.37607907531734097
211,0.12661197781562805,0.45175641688538465
212,0.1480816900730133,0.5062407990639627
213,0.14324112236499786,0.44096899256453587
214,0.14682017266750336,0.3606930321216634
215,0.12706056237220764,0.4307937498860372
216,0.09287808835506439,0.1793113968756665
217,0.061343301087617874,0.18552221519961834
